gene;2h;6h;16h;24h;48h;72h;;;;;;;;;
PMAIP1;289,88;1274,18;432,36;251,68;211,79;226,16;;;;;;;;;
ACOX1;114,83;101,76;115,70;196,94;202,86;183,87;;;;;;;;;
LCP;90,98;74,63;82,46;155,67;132,95;135,82;;;;;;;;;
C20orf126;80,73;155,55;171,64;168,91;109,30;72,48;;;;;;;;;
ZDHHC2;66,40;103,79;81,85;59,49;72,34;49,96;;;;;;;;;
FLJ10276;87,68;84,42;93,93;160,60;151,34;118,17;;;;;;;;;
ADAMTS1;137,19;120,18;59,70;39,82;35,45;20,59;;;;;;;;;
KIAA0020;70,66;40,96;48,64;87,44;73,12;58,69;;;;;;;;;
PIGH;91,18;150,33;128,37;201,67;110,68;107,31;;;;;;;;;
I_966001;72,81;102,83;99,67;144,13;79,52;65,24;;;;;;;;;
GYS1;81,10;47,09;35,18;47,46;42,15;31,68;;;;;;;;;
LANO;77,59;40,10;56,77;111,36;138,40;94,84;;;;;;;;;
I_1152296;104,27;39,67;36,31;30,41;47,11;43,71;;;;;;;;;
FLJ20364;36,29;57,73;31,57;61,23;39,82;27,81;;;;;;;;;
CNOT8;49,95;106,60;85,82;157,48;110,84;83,91;;;;;;;;;
FLJ20432;74,28;205,53;145,74;139,93;132,45;95,46;;;;;;;;;
MANBAL;100,92;114,51;130,13;119,33;85,37;72,59;;;;;;;;;
ARHE;37,30;138,25;73,16;75,99;129,37;89,91;;;;;;;;;
DDX18;75,80;79,26;57,00;107,67;103,15;73,51;;;;;;;;;
TNFRSF14;142,67;145,12;305,33;339,34;327,30;422,63;;;;;;;;;
FTL;141,25;145,65;211,79;149,98;172,23;174,00;;;;;;;;;
HSPC031;148,23;190,80;127,41;87,62;114,11;96,72;;;;;;;;;
I_964870;112,29;67,84;38,35;41,86;66,60;60,16;;;;;;;;;
COX6B;101,38;117,57;140,42;132,90;148,47;188,58;;;;;;;;;
I_966001;73,00;91,34;86,41;136,19;86,74;63,90;;;;;;;;;
ORMDL2;132,60;110,94;104,98;113,26;180,91;197,44;;;;;;;;;
NINJ1;119,52;125,65;192,86;204,68;216,26;216,37;;;;;;;;;
CA9;68,53;55,30;54,59;23,87;29,01;23,67;;;;;;;;;
PIAS3;98,55;74,59;97,12;132,37;104,02;82,49;;;;;;;;;
CAV1;49,31;40,28;20,53;45,57;53,96;41,33;;;;;;;;;
I_935736;69,56;62,08;84,17;182,39;153,89;102,34;;;;;;;;;
FLJ10871;103,28;43,73;60,85;87,04;98,80;72,71;;;;;;;;;
ARHE;35,39;128,87;80,68;74,96;131,90;92,71;;;;;;;;;
TIMP1;147,07;111,42;119,94;128,23;258,26;327,45;;;;;;;;;
FLJ20530;85,81;67,65;41,44;108,40;99,37;86,77;;;;;;;;;
BBS2;63,12;73,49;56,14;104,14;97,61;87,06;;;;;;;;;
CPR8;70,66;104,95;131,25;304,03;143,29;122,84;;;;;;;;;
FLJ20312;65,31;121,23;97,50;126,34;120,26;110,02;;;;;;;;;
I_1000297;94,97;226,85;135,38;101,53;171,46;149,18;;;;;;;;;
HS3ST3A1;69,89;10,47;12,80;17,09;29,96;14,98;;;;;;;;;
MXI1;36,70;51,90;60,62;134,63;88,63;61,51;;;;;;;;;
I_1110197;104,13;63,13;49,49;47,44;75,56;71,37;;;;;;;;;
SH3GLB1;84,34;79,54;61,59;84,81;113,41;116,88;;;;;;;;;
SCML1;58,62;224,78;117,17;124,80;115,01;65,98;;;;;;;;;
CPS1;104,65;95,89;69,54;65,73;66,87;57,31;;;;;;;;;
MYH9;244,60;118,22;85,27;46,34;96,60;95,73;;;;;;;;;
RASAL2;88,21;88,77;87,03;61,70;67,82;94,52;;;;;;;;;
I_958579;77,73;114,82;73,40;142,88;72,20;50,52;;;;;;;;;
trp7;91,33;108,17;96,42;103,04;75,64;100,53;;;;;;;;;
FLJ10156;82,26;113,27;66,94;61,01;49,97;25,37;;;;;;;;;
GMPPA;136,05;95,03;110,75;137,14;147,04;161,67;;;;;;;;;
I_1152077;54,30;49,95;42,92;95,59;48,61;33,80;;;;;;;;;
ALDH1A3;69,35;82,21;33,51;69,53;91,94;73,34;;;;;;;;;
ANXA2;66,56;74,81;65,60;38,93;35,89;40,71;;;;;;;;;
ID4;325,39;268,17;107,68;171,92;72,38;121,44;;;;;;;;;
RAB11A;73,34;70,70;46,88;111,43;101,51;90,26;;;;;;;;;
CAT;69,70;111,78;91,96;186,57;191,95;143,15;;;;;;;;;
MT1X;101,21;130,24;48,34;43,13;77,12;67,83;;;;;;;;;
GOSR1;111,47;74,20;98,91;123,55;125,13;122,83;;;;;;;;;
KIAA0608;56,02;35,93;53,19;120,80;93,68;70,23;;;;;;;;;
I_933075;74,43;174,54;129,12;121,72;101,02;87,52;;;;;;;;;
FLJ22116;58,18;60,94;56,61;96,52;87,41;66,99;;;;;;;;;
I_964633;156,98;104,49;88,46;80,05;92,88;91,72;;;;;;;;;
CKAP4;140,46;114,42;131,93;105,88;67,48;64,20;;;;;;;;;
OXR1;69,97;103,88;83,57;126,65;68,53;61,11;;;;;;;;;
NDUFA5;56,30;128,88;81,21;162,28;116,34;96,39;;;;;;;;;
LMO2;55,25;51,84;42,01;113,59;62,80;51,78;;;;;;;;;
GAA;98,70;133,75;185,88;249,82;185,04;196,94;;;;;;;;;
FLJ10292;59,94;78,20;34,19;71,26;54,08;42,56;;;;;;;;;
GA;136,99;108,10;165,23;312,54;341,30;503,15;;;;;;;;;
JJAZ1;65,92;32,98;33,59;95,06;84,73;50,27;;;;;;;;;
TTK;47,33;28,65;26,71;45,39;39,82;15,45;;;;;;;;;
DVL1;121,35;72,93;51,14;75,53;113,96;103,18;;;;;;;;;
FLJ20644;72,74;95,73;59,06;57,64;52,14;29,95;;;;;;;;;
HMG4;74,73;81,10;76,43;85,97;59,23;50,60;;;;;;;;;
CLP;162,84;117,10;124,68;60,33;54,46;80,92;;;;;;;;;
DKFZP564C1940;143,42;107,25;158,13;168,58;237,91;202,76;;;;;;;;;
HSF2;56,11;79,07;78,18;134,06;84,34;60,77;;;;;;;;;
TAX1BP1;66,24;80,57;45,03;92,17;93,28;84,06;;;;;;;;;
EP300;87,20;51,49;82,28;107,42;129,61;103,10;;;;;;;;;
TUBA3;137,03;105,14;77,76;42,38;31,37;54,90;;;;;;;;;
NIF3L1;68,28;78,39;62,04;93,32;66,25;53,07;;;;;;;;;
FLJ22679;110,38;60,50;56,99;68,11;71,58;67,54;;;;;;;;;
ARHGAP10;73,42;24,78;22,86;46,54;47,74;35,24;;;;;;;;;
NFKB1;138,97;55,05;68,66;95,50;117,49;96,97;;;;;;;;;
IFIT1;87,90;169,28;225,20;224,45;134,00;125,60;;;;;;;;;
USP9X;104,79;51,87;26,41;54,30;65,09;58,28;;;;;;;;;
PREP;87,61;51,83;52,14;72,74;98,22;81,29;;;;;;;;;
PAX8;116,18;106,52;112,91;136,35;196,78;117,63;;;;;;;;;
CDK7;76,94;68,19;89,63;143,71;128,40;112,32;;;;;;;;;
NME7;103,06;91,72;46,43;44,44;73,07;49,60;;;;;;;;;
MJD;65,91;70,51;73,90;157,81;109,52;106,07;;;;;;;;;
CCNA2;65,93;50,31;40,53;46,68;29,11;15,43;;;;;;;;;
NPEPPS;67,46;37,38;35,03;90,10;85,72;64,55;;;;;;;;;
ZNF35;93,36;171,37;164,88;142,14;126,38;115,39;;;;;;;;;
POLR2D;105,72;118,42;116,35;103,42;97,85;83,11;;;;;;;;;
FLJ13081;75,46;42,22;33,81;102,15;85,08;57,76;;;;;;;;;
TACC3;89,39;48,77;45,84;44,57;28,55;16,21;;;;;;;;;
PCNA;77,11;212,66;160,83;184,41;173,54;112,70;;;;;;;;;
I_1100411;134,00;45,37;46,05;65,74;82,18;72,94;;;;;;;;;
KIAA0547;51,25;181,24;129,92;153,66;121,63;90,51;;;;;;;;;
CIAO1;89,78;94,14;92,14;125,37;122,60;114,33;;;;;;;;;
I_964051;109,66;93,44;130,65;52,31;114,62;213,55;;;;;;;;;
I_957378;55,95;76,44;32,14;73,07;76,00;50,91;;;;;;;;;
GDI1;126,74;118,78;180,52;155,15;146,40;149,14;;;;;;;;;
I_1109432;68,06;14,10;28,98;56,07;49,65;27,10;;;;;;;;;
DAZAP1;93,87;83,03;33,25;51,40;54,21;42,14;;;;;;;;;
CCT6A;98,78;130,83;69,90;105,29;91,12;76,56;;;;;;;;;
PIK3CB;109,96;49,81;41,30;67,55;77,81;62,33;;;;;;;;;
I_931990;85,44;230,91;190,24;98,95;92,35;100,79;;;;;;;;;
POLR2K;61,77;157,64;125,54;137,28;106,01;92,61;;;;;;;;;
USP10;100,08;47,61;54,29;84,38;102,58;73,55;;;;;;;;;
LMO2;54,55;52,69;42,64;113,97;60,76;48,49;;;;;;;;;
I_957301;45,33;128,49;63,99;91,54;55,30;29,50;;;;;;;;;
I_929363;88,17;85,00;42,68;59,05;71,02;68,10;;;;;;;;;
BACH;137,62;115,96;97,55;61,27;88,84;78,78;;;;;;;;;
IF;42,10;96,22;81,06;134,47;94,54;84,37;;;;;;;;;
FUSIP1;65,81;74,99;56,92;93,67;62,68;57,36;;;;;;;;;
IDI1;74,74;197,44;138,43;130,08;85,94;88,53;;;;;;;;;
FLJ20533;67,35;153,37;109,52;148,44;103,34;74,18;;;;;;;;;
HCF-2;56,02;63,71;68,62;119,23;92,82;74,53;;;;;;;;;
TRIM28;212,86;184,07;181,41;134,05;124,87;103,10;;;;;;;;;
STK15;71,72;32,39;30,87;40,75;23,15;17,44;;;;;;;;;
SERPINB1;100,02;101,90;117,27;123,87;191,93;163,26;;;;;;;;;
I_929399;85,37;68,13;31,91;55,34;61,09;30,07;;;;;;;;;
LOC51064;111,60;133,99;134,53;174,47;193,63;172,59;;;;;;;;;
I_930638;92,56;97,91;107,30;148,35;119,81;94,51;;;;;;;;;
FLJ21615;64,19;49,80;51,44;104,81;104,31;75,83;;;;;;;;;
TMEM5;116,46;273,68;188,26;129,89;108,12;101,38;;;;;;;;;
SPTBN1;111,91;54,93;38,68;32,74;43,88;45,91;;;;;;;;;
LMO2;53,84;49,94;42,74;115,17;60,46;50,90;;;;;;;;;
ARHE;35,75;131,85;76,87;75,72;127,12;87,38;;;;;;;;;
ARFGAP1;80,04;73,63;72,78;116,33;114,26;98,12;;;;;;;;;
ABCD1;168,96;163,42;240,32;249,88;225,71;302,35;;;;;;;;;
EIF2AK3;70,17;75,55;70,63;129,16;84,60;72,42;;;;;;;;;
MUS81;110,57;60,21;56,83;74,97;90,92;86,93;;;;;;;;;
GTF2I;98,33;50,84;42,61;96,25;91,38;70,52;;;;;;;;;
HRB;108,35;49,15;40,25;67,40;89,83;72,54;;;;;;;;;
PDGFC;55,09;20,02;16,69;33,04;39,07;19,53;;;;;;;;;
FLJ10587;99,54;259,36;210,99;171,98;177,68;132,37;;;;;;;;;
DNAJB11;108,02;135,74;132,97;141,56;92,21;84,60;;;;;;;;;
ZNF148;81,18;48,43;61,40;80,16;72,63;81,53;;;;;;;;;
MKLN1;99,64;53,03;47,80;71,71;108,75;97,87;;;;;;;;;
HPS1;103,16;84,23;36,32;73,03;84,14;58,48;;;;;;;;;
NFE2L2;52,69;40,90;58,82;135,23;127,54;98,96;;;;;;;;;
ZK1;74,38;153,42;131,01;151,06;87,45;80,26;;;;;;;;;
I_1151926;35,99;64,21;25,27;64,60;48,90;25,55;;;;;;;;;
AD24;79,47;49,01;52,27;101,66;104,54;74,23;;;;;;;;;
HMG1;58,20;120,94;58,30;72,20;51,79;30,35;;;;;;;;;
NPAS2;122,35;65,80;46,39;56,15;57,79;43,37;;;;;;;;;
LARGE;69,69;40,17;29,37;17,12;31,02;13,47;;;;;;;;;
PKP4;109,64;56,39;23,91;29,06;47,19;30,40;;;;;;;;;
RTN4IP1;119,05;45,68;52,86;85,42;84,54;58,15;;;;;;;;;
C15orf15;65,21;150,54;93,33;125,46;95,52;85,69;;;;;;;;;
PTK9;54,56;86,45;57,30;111,13;82,88;53,57;;;;;;;;;
SRPX;82,85;99,82;64,34;37,35;55,47;38,88;;;;;;;;;
ARHC;127,08;106,05;130,65;109,36;152,88;189,95;;;;;;;;;
TSPAN-1;112,44;105,77;121,37;117,08;157,70;210,84;;;;;;;;;
ACTN4;157,91;81,72;68,13;48,71;68,11;81,47;;;;;;;;;
CHAF1B;90,72;86,87;63,36;114,04;71,44;41,61;;;;;;;;;
I_963312;44,25;59,06;50,26;110,75;69,89;58,64;;;;;;;;;
I_961982;70,84;137,87;147,19;198,24;156,03;113,53;;;;;;;;;
MBD2;95,93;76,53;28,85;60,01;78,55;55,14;;;;;;;;;
FLJ21817;111,74;61,86;61,37;51,29;79,78;61,21;;;;;;;;;
MGC5528;65,93;67,94;38,76;109,47;77,73;44,44;;;;;;;;;
CD244;81,02;81,75;96,63;62,45;106,74;94,69;;;;;;;;;
ELK3;71,19;64,60;44,16;44,65;53,36;46,87;;;;;;;;;
I_1000433;86,59;159,05;148,02;148,77;87,58;92,59;;;;;;;;;
BRMS1;152,02;152,54;227,41;150,61;156,15;162,98;;;;;;;;;
TAF9;84,86;224,26;185,97;156,37;112,44;87,43;;;;;;;;;
RPS27L;64,66;141,23;107,68;130,20;254,97;234,53;;;;;;;;;
CHAF1B;87,07;75,24;63,48;113,81;71,05;43,68;;;;;;;;;
HYPE;183,90;207,76;194,36;151,53;114,18;110,96;;;;;;;;;
I_1109221;71,65;147,52;110,54;126,33;83,75;78,23;;;;;;;;;
DDX27;103,41;103,95;96,97;150,28;131,05;104,84;;;;;;;;;
CPR8;73,80;106,63;129,82;303,19;129,45;108,47;;;;;;;;;
I_966772;81,34;130,19;123,61;170,16;93,24;78,13;;;;;;;;;
SPP1;79,67;144,35;149,54;120,09;155,10;178,36;;;;;;;;;
PAPPA;107,96;80,91;74,66;54,69;65,23;72,77;;;;;;;;;
FLJ20259;91,29;47,82;66,21;106,95;94,61;83,12;;;;;;;;;
RBM14;139,23;155,73;162,17;100,90;111,23;100,11;;;;;;;;;
DSCR5;88,28;106,95;100,48;132,35;173,51;168,82;;;;;;;;;
CHI3L2;67,45;128,85;134,35;166,55;96,68;94,61;;;;;;;;;
PDX1;81,79;66,21;61,58;109,40;104,47;111,10;;;;;;;;;
FLJ10110;69,26;183,88;82,67;85,57;75,57;35,76;;;;;;;;;
RNF7;76,22;132,92;106,82;150,80;98,17;95,97;;;;;;;;;
CDCA7;57,93;64,83;29,87;74,01;76,27;32,19;;;;;;;;;
GBA;136,46;99,98;120,33;129,99;175,11;178,62;;;;;;;;;
AB026190;89,51;56,86;77,02;130,68;112,90;89,46;;;;;;;;;
MGC11061;86,32;102,60;88,03;142,39;96,39;83,05;;;;;;;;;
PPFIBP1;109,12;64,40;47,49;51,99;63,41;57,68;;;;;;;;;
KIAA0712;79,17;39,53;44,33;50,83;68,78;43,76;;;;;;;;;
MGC13186;152,81;123,67;94,15;117,15;201,75;233,28;;;;;;;;;
LEPROTL1;92,15;110,46;72,15;124,39;106,98;84,00;;;;;;;;;
WDR6;147,69;108,54;131,60;172,27;181,01;158,75;;;;;;;;;
I_1100118;60,59;88,68;62,30;58,69;42,42;29,53;;;;;;;;;
APOL3;126,96;153,97;197,54;238,04;103,31;120,34;;;;;;;;;
TNFAIP1;102,77;115,20;158,74;193,56;179,99;144,06;;;;;;;;;
EDN2;67,32;62,51;93,43;52,90;129,19;92,28;;;;;;;;;
ARHGEF12;94,38;73,31;30,54;50,98;68,63;48,07;;;;;;;;;
SCAMP3;182,63;189,63;270,92;216,53;234,12;192,69;;;;;;;;;
SLC1A1;61,20;46,87;19,41;49,44;41,46;24,59;;;;;;;;;
NR2F2;22,91;32,77;32,71;70,08;47,61;27,95;;;;;;;;;
SELM;128,81;150,58;195,26;200,38;164,14;214,70;;;;;;;;;
I_1152472;119,08;30,21;38,45;55,88;49,90;46,75;;;;;;;;;
DNAJA1;79,42;150,50;95,99;169,33;110,96;122,06;;;;;;;;;
PSMC2;68,29;133,07;76,48;122,17;75,60;56,04;;;;;;;;;
I_957474;83,77;64,67;79,81;102,29;122,22;76,61;;;;;;;;;
CLGN;55,68;104,05;92,10;119,80;75,49;63,94;;;;;;;;;
DYRK1A;43,07;25,77;35,98;64,67;70,29;43,68;;;;;;;;;
NS1-BP;96,60;40,69;25,62;60,36;57,24;43,36;;;;;;;;;
I_965259;86,09;95,00;58,41;34,90;52,30;47,31;;;;;;;;;
NLVCF;105,59;137,38;125,71;162,43;154,46;192,38;;;;;;;;;
I_960727;147,81;83,42;86,63;107,62;128,74;143,79;;;;;;;;;
PIK3R3;82,77;97,65;148,84;200,26;102,44;180,88;;;;;;;;;
AKR1C2;112,64;167,94;226,54;125,67;94,35;87,48;;;;;;;;;
EPHB2;177,62;110,67;81,79;69,80;94,23;84,15;;;;;;;;;
I_943947;105,28;89,85;77,67;64,73;51,26;55,67;;;;;;;;;
I_929420;89,56;60,59;68,53;117,92;92,71;102,98;;;;;;;;;
I_928644;102,89;69,32;60,50;103,50;120,64;100,16;;;;;;;;;
MGC12992;99,32;104,55;136,80;184,49;120,53;125,21;;;;;;;;;
LMO2;53,28;51,62;41,64;115,54;59,84;49,95;;;;;;;;;
SMARCC1;123,20;64,58;45,87;56,92;81,29;78,30;;;;;;;;;
HNOEL-iso;87,68;109,73;123,48;147,20;76,98;83,41;;;;;;;;;
MAPK10;97,96;78,60;56,86;55,11;51,82;48,07;;;;;;;;;
MGC4365;74,87;75,87;102,29;164,51;86,73;72,41;;;;;;;;;
IFITM3;160,21;131,12;171,68;161,89;230,22;307,65;;;;;;;;;
MAP2K4;73,48;36,28;34,13;81,08;78,24;58,09;;;;;;;;;
FLJ20432;74,55;221,76;149,17;144,79;134,99;101,69;;;;;;;;;
RAB18;71,99;82,07;53,53;97,94;78,48;71,31;;;;;;;;;
C20orf188;118,64;75,22;62,38;82,77;104,48;105,39;;;;;;;;;
VEZATIN;58,44;49,72;42,08;107,12;98,19;56,72;;;;;;;;;
SF1;180,66;113,54;110,48;61,91;75,91;83,04;;;;;;;;;
I_965787;169,40;141,40;113,94;73,85;89,88;81,86;;;;;;;;;
UPF3A;65,57;96,31;84,68;133,80;99,96;84,92;;;;;;;;;
NRF;80,91;150,50;130,17;164,24;161,97;121,40;;;;;;;;;
ESM1;83,56;187,97;92,33;90,61;129,28;115,63;;;;;;;;;
SRP19;56,28;39,97;45,06;134,12;99,91;72,73;;;;;;;;;
MESDC2;89,53;110,56;87,81;116,49;79,47;55,77;;;;;;;;;
CPR8;71,90;103,31;125,03;297,63;135,65;115,96;;;;;;;;;
SLC35A1;64,44;91,25;81,51;224,51;125,91;107,05;;;;;;;;;
UGP2;54,08;63,75;44,64;99,89;75,14;51,09;;;;;;;;;
PTTG2;81,41;109,51;80,40;53,99;54,20;42,94;;;;;;;;;
HMGCR;65,52;80,59;89,44;114,37;117,59;97,01;;;;;;;;;
I_960820;54,73;60,77;66,07;110,62;65,60;51,04;;;;;;;;;
ATP5J2;61,32;123,96;107,26;116,27;97,49;115,98;;;;;;;;;
KIAA0008;56,85;43,06;20,15;33,60;26,89;16,25;;;;;;;;;
CRSP9;54,36;120,70;99,74;117,71;82,53;85,74;;;;;;;;;
PHIP;99,65;42,80;31,04;80,08;57,45;42,63;;;;;;;;;
OSBPL9;89,42;70,75;58,17;117,32;121,60;115,66;;;;;;;;;
MGC13007;76,59;61,97;82,12;107,54;122,33;114,24;;;;;;;;;
LOC136442;76,86;85,99;76,43;133,70;124,33;90,51;;;;;;;;;
SSH3BP1;63,02;39,80;40,63;88,94;83,65;55,01;;;;;;;;;
BTN2A2;79,71;75,71;95,07;139,99;95,40;88,38;;;;;;;;;
H2AFX;104,00;169,75;106,37;57,04;48,74;39,78;;;;;;;;;
FLJ21156;143,99;105,96;149,27;172,69;219,21;160,66;;;;;;;;;
HSPC126;58,17;67,10;63,13;133,50;88,53;68,06;;;;;;;;;
COPEB;63,31;78,92;35,23;44,08;48,37;41,01;;;;;;;;;
TSG101;91,05;93,71;82,68;141,56;184,79;145,90;;;;;;;;;
I_946379;78,95;100,82;30,39;80,21;119,02;82,14;;;;;;;;;
FLJ13119;80,15;33,18;28,47;68,02;62,31;49,22;;;;;;;;;
CORO1C;88,76;58,75;25,42;37,44;48,40;42,73;;;;;;;;;
KIF13A;93,27;68,43;53,74;49,28;91,79;52,53;;;;;;;;;
CLIC4;93,13;85,43;62,17;34,49;42,41;54,26;;;;;;;;;
MKRN1;97,54;97,92;108,61;153,69;134,94;114,35;;;;;;;;;
BET1;64,62;79,41;75,09;117,28;91,11;98,60;;;;;;;;;
FLJ10156;79,92;108,73;68,87;64,11;48,36;25,14;;;;;;;;;
SPP1;85,30;150,87;151,57;117,57;152,85;176,31;;;;;;;;;
PSMD12;78,89;78,45;72,69;108,84;86,70;62,14;;;;;;;;;
RECQL;57,64;99,07;63,43;103,94;58,43;54,08;;;;;;;;;
EIF4G2;87,71;101,98;69,21;88,04;70,39;50,30;;;;;;;;;
PSMB7;103,13;101,10;70,67;54,35;55,83;60,13;;;;;;;;;
ATP6V0D1;145,69;102,88;135,12;111,29;160,63;173,92;;;;;;;;;
FLJ20364;37,12;57,73;31,05;60,94;41,57;28,72;;;;;;;;;
STCH;73,86;128,17;112,40;147,29;93,81;72,54;;;;;;;;;
SNW1;83,57;59,72;78,21;128,79;100,10;79,04;;;;;;;;;
DKK1;164,68;255,61;110,17;266,04;553,58;475,60;;;;;;;;;
FLJ20366;101,27;78,01;99,17;143,08;137,49;127,48;;;;;;;;;
KOC1;65,67;27,95;19,61;28,60;34,98;32,13;;;;;;;;;
DKFZp761B1514;72,87;106,93;85,92;134,13;105,11;85,56;;;;;;;;;
FLJ11198;150,64;106,43;138,10;191,39;187,89;202,35;;;;;;;;;
LOC129401;71,80;33,26;28,52;55,89;50,75;39,67;;;;;;;;;
ALCAM;93,98;82,58;62,88;35,46;34,89;41,39;;;;;;;;;
WDR7;109,84;41,56;37,27;47,43;55,02;40,74;;;;;;;;;
NSBP1;71,84;131,97;120,29;178,01;112,81;93,26;;;;;;;;;
TRIP6;108,71;81,45;110,93;133,73;169,66;133,65;;;;;;;;;
GRB10;114,12;39,52;39,59;42,68;59,51;49,51;;;;;;;;;
I_960942;77,35;131,40;107,93;123,93;93,31;59,30;;;;;;;;;
INPP1;120,15;194,11;249,30;201,68;248,23;261,41;;;;;;;;;
CASP9;108,20;85,06;102,22;192,58;157,85;167,31;;;;;;;;;
C3orf4;57,35;89,14;68,55;109,20;130,94;85,86;;;;;;;;;
CHRNA9;110,51;173,35;162,30;363,78;204,85;350,81;;;;;;;;;
KIAA0443;91,91;120,92;152,28;237,29;117,77;97,97;;;;;;;;;
MYO1E;73,25;26,59;23,61;45,11;39,52;28,74;;;;;;;;;
NP220;64,07;41,00;60,92;145,02;86,42;76,03;;;;;;;;;
LOC57107;80,37;62,90;33,87;37,63;50,46;31,03;;;;;;;;;
I_1109240;92,23;53,12;50,70;88,14;123,58;141,51;;;;;;;;;
SPP1;81,41;149,03;154,26;120,84;157,48;175,96;;;;;;;;;
TIGA1;98,33;210,35;171,50;216,39;147,52;128,96;;;;;;;;;
FLJ20628;85,13;41,70;34,56;88,11;80,81;73,59;;;;;;;;;
I_962037;58,41;67,84;46,20;123,09;84,70;52,17;;;;;;;;;
FBXL3A;52,21;83,10;87,65;145,65;99,07;68,00;;;;;;;;;
HEAB;82,02;315,54;248,81;192,59;162,36;138,97;;;;;;;;;
DLC1;128,11;56,29;44,42;65,56;79,50;62,91;;;;;;;;;
SMARCA3;88,32;72,41;70,33;59,83;63,14;81,49;;;;;;;;;
PPP1R2;79,83;102,79;84,88;152,73;141,55;108,69;;;;;;;;;
FLJ10156;78,13;110,17;66,68;61,68;51,62;26,69;;;;;;;;;
PABPC3;149,02;98,58;71,78;85,52;122,55;106,82;;;;;;;;;
ITGBL1;87,37;94,16;94,25;58,45;74,88;85,99;;;;;;;;;
PIN;86,81;212,88;180,11;95,16;109,76;102,82;;;;;;;;;
TIMM17A;101,81;153,19;114,64;110,00;115,02;102,52;;;;;;;;;
I_966665;81,88;120,64;120,57;162,48;103,33;96,46;;;;;;;;;
DIS3;119,74;163,03;164,93;129,93;98,86;87,42;;;;;;;;;
FLJ21047;91,75;67,49;29,38;64,92;66,88;39,05;;;;;;;;;
DC6;56,72;135,39;77,69;129,90;89,79;77,22;;;;;;;;;
STCH;78,91;139,95;119,07;147,57;90,91;80,16;;;;;;;;;
PSMA4;58,60;111,51;79,40;150,45;97,25;86,33;;;;;;;;;
DKFZP434J154;94,86;86,12;78,54;134,68;136,12;94,31;;;;;;;;;
I_1109451;84,56;145,07;116,68;106,20;62,56;52,68;;;;;;;;;
GLRX;40,81;66,41;33,28;75,67;58,69;59,14;;;;;;;;;
FLJ20030;147,22;69,52;43,16;47,90;63,98;60,34;;;;;;;;;
GAS41;59,63;48,52;51,90;109,96;68,47;66,39;;;;;;;;;
SCHIP1;36,35;40,73;49,22;84,75;97,44;79,21;;;;;;;;;
UXS1;91,61;127,42;91,71;72,83;70,57;50,26;;;;;;;;;
UMPK;108,18;56,91;42,56;76,92;93,82;53,75;;;;;;;;;
RNF20;100,34;81,27;89,13;137,86;119,12;116,28;;;;;;;;;
CTNNB1;94,11;66,22;40,59;107,40;90,27;88,32;;;;;;;;;
PLTP;130,46;113,53;131,73;113,13;72,68;74,56;;;;;;;;;
I_1109499;98,32;97,44;68,86;49,59;61,99;48,26;;;;;;;;;
TOMM40;177,22;117,97;101,88;77,21;78,24;96,38;;;;;;;;;
I_964313;72,42;128,64;127,73;139,96;82,43;92,44;;;;;;;;;
HT012;102,03;108,35;69,99;82,72;101,22;121,85;;;;;;;;;
ARHE;34,96;125,42;76,45;74,20;123,56;91,15;;;;;;;;;
I_957301;43,30;123,79;66,63;94,16;54,70;31,47;;;;;;;;;
I_957786;56,81;56,74;65,79;145,49;74,59;59,43;;;;;;;;;
I_958405;75,01;206,79;141,71;157,65;108,09;103,45;;;;;;;;;
FLJ20085;151,25;76,15;55,95;65,99;81,77;71,78;;;;;;;;;
PCOLCE2;57,15;90,70;72,65;94,89;65,78;53,70;;;;;;;;;
RBBP8;71,55;74,82;29,05;63,32;65,45;41,63;;;;;;;;;
IF2;118,25;78,41;52,44;100,64;93,23;73,31;;;;;;;;;
SNX7;67,72;85,28;37,32;63,25;63,45;40,78;;;;;;;;;
RA-GEF-2;60,65;22,99;36,51;66,95;74,34;40,21;;;;;;;;;
C20orf31;93,45;106,29;122,20;150,56;125,29;124,08;;;;;;;;;
CML66;58,68;44,03;37,33;67,19;68,55;41,04;;;;;;;;;
FLJ12549;68,11;50,97;29,61;78,51;59,83;48,99;;;;;;;;;
I_932883;50,25;78,18;64,66;107,73;90,52;73,75;;;;;;;;;
ZFP91;95,71;39,03;45,91;72,82;79,98;65,78;;;;;;;;;
P125;91,46;48,15;51,75;101,45;106,37;80,23;;;;;;;;;
DPYSL3;116,86;113,85;81,47;61,04;112,43;120,72;;;;;;;;;
FLJ22301;108,21;142,21;155,02;181,62;128,33;125,57;;;;;;;;;
DYRK3;97,50;298,92;377,24;227,83;312,84;331,00;;;;;;;;;
MGC5254;46,23;40,91;32,07;78,26;54,04;22,22;;;;;;;;;
I_1109196;93,57;45,90;27,49;46,88;49,01;33,76;;;;;;;;;
SLC9A7;92,03;82,65;89,86;65,17;91,20;95,92;;;;;;;;;
FLJ11273;81,56;117,32;77,83;151,15;166,63;126,69;;;;;;;;;
MKI67;97,78;30,92;35,90;43,37;25,52;13,67;;;;;;;;;
MTHFD1;150,12;106,32;67,42;51,22;112,65;87,40;;;;;;;;;
KIAA0893;52,15;87,20;91,49;161,61;128,76;90,66;;;;;;;;;
SCYA26;156,41;137,76;153,60;264,05;284,98;339,01;;;;;;;;;
