gene;2h;6h;16h;24h;48h;72h;;;;;;;;;
FLJ10300;49,53;30,31;31,60;91,91;77,39;48,08;;;;;;;;;
I_1151937;56,66;67,00;76,43;130,10;106,99;70,43;;;;;;;;;
CD44;121,51;67,05;68,30;36,06;61,58;63,51;;;;;;;;;
LOXL2;76,31;60,02;47,50;37,10;17,70;12,47;;;;;;;;;
AGM1;93,03;85,16;61,28;155,84;111,96;96,35;;;;;;;;;
LOC51240;72,52;139,74;90,86;103,31;59,64;48,68;;;;;;;;;
I_965309;78,27;128,05;99,47;80,39;49,97;37,31;;;;;;;;;
ALEX3;79,98;156,21;147,82;212,34;77,00;79,13;;;;;;;;;
KIAA0097;89,72;31,25;30,33;56,53;61,06;54,10;;;;;;;;;
DKFZP566D1346;66,75;37,05;37,60;81,60;85,05;59,55;;;;;;;;;
RNPC2;38,59;60,56;55,07;102,23;67,23;49,39;;;;;;;;;
TRAF4;166,76;399,11;355,80;288,83;425,41;409,23;;;;;;;;;
NKTR;34,21;75,22;76,37;201,91;106,85;57,29;;;;;;;;;
CDCA1;35,08;50,69;30,23;44,68;27,23;13,53;;;;;;;;;
LOXL2;76,13;56,14;48,30;37,06;18,16;12,46;;;;;;;;;
FLJ23468;41,68;85,77;34,92;60,93;39,70;13,79;;;;;;;;;
PLEC1;160,77;62,32;74,78;86,01;113,11;130,89;;;;;;;;;
FLJ22174;69,35;21,57;19,51;29,34;38,02;21,74;;;;;;;;;
EPN2;87,34;62,63;75,72;98,66;92,35;80,75;;;;;;;;;
I_958612;79,65;175,49;103,70;83,44;60,94;41,30;;;;;;;;;
LOC51635;136,46;135,02;166,99;223,99;267,90;319,91;;;;;;;;;
MAP4K4;132,53;77,81;31,07;29,44;32,79;38,91;;;;;;;;;
TBCE;79,85;80,32;33,23;74,39;58,18;46,14;;;;;;;;;
I_1152007;165,87;80,74;66,61;45,67;64,76;58,55;;;;;;;;;
SMARCA5;92,75;45,06;34,44;118,74;106,63;91,44;;;;;;;;;
MKNK1;85,11;67,94;74,95;149,29;125,51;100,68;;;;;;;;;
LAMB2;121,77;130,15;168,96;284,77;258,37;269,99;;;;;;;;;
WTAP;119,81;55,75;79,49;121,96;122,09;104,22;;;;;;;;;
I_1000314;83,61;91,00;114,43;171,40;184,00;177,29;;;;;;;;;
LOXL2;78,28;56,80;48,00;36,94;18,18;12,84;;;;;;;;;
HMG17L1;96,92;107,85;61,06;93,35;52,31;33,46;;;;;;;;;
LOC92906;73,13;53,78;36,99;122,79;84,92;68,03;;;;;;;;;
TMF1;69,81;55,50;58,18;130,05;85,65;75,42;;;;;;;;;
I_932626;63,68;124,87;66,05;100,57;58,35;30,59;;;;;;;;;
NPY1R;97,80;276,35;608,28;745,87;129,06;271,47;;;;;;;;;
FLJ20036;54,37;164,76;131,04;166,63;116,52;76,91;;;;;;;;;
H2BFK;133,06;132,59;140,01;68,32;128,28;180,21;;;;;;;;;
I_961148;79,25;78,00;110,00;211,43;221,36;205,47;;;;;;;;;
RAB6KIFL;84,51;54,65;37,44;45,66;26,18;15,96;;;;;;;;;
MID1;68,19;14,17;16,26;27,12;47,04;21,91;;;;;;;;;
OSBPL6;121,10;45,59;39,36;67,18;67,01;57,08;;;;;;;;;
